province,provinceN
上海,P1
北京,P2
河南,P3
广东,P4
辽宁,P5
陕西,P6
浙江,P7
四川,P8
云南,P9
黑龙江,P10
安徽,P11
江苏,P12
重庆,P13
天津,P14
福建,P15
山东,P16
湖北,P17
贵州,P18
湖南,P19
宁夏,P20
广西,P21
吉林,P22
江西,P23
甘肃,P24
新疆,P25
河北,P26
海南,P27
山西,P28
内蒙古,P29
青海,P30
西藏,P31
,unknow
